26	.	.	.	.	.	.	.	.
26	28	25	24	22	.	.	.	.
28	25	.	.	.	.	.	.	.
.	22	.	.	.	.	.	.	.
29	27	30	28	28	27	26	.	.
29	26	26	27	23	24	.	.	.
23	19	24	.	.	.	.	.	.
25	27	23	29	24	27	25	.	.
26	29	28	.	.	.	.	.	.
30	28	24	25	.	.	.	.	.
25	.	.	.	.	.	.	.	.
26	28	30	30	28	.	.	.	.
26	22	16	1	0	.	.	.	.
27	30	.	.	.	.	.	.	.
28	.	.	.	.	.	.	.	.
17	.	.	.	.	.	.	.	.
29	30	28	30	29	30	30	29	30
30	30	.	.	.	.	.	.	.
22	23	18	.	.	.	.	.	.
27	.	.	.	.	.	.	.	.
26	22	20	.	.	.	.	.	.
30	28	28	29	.	.	.	.	.
23	23	26	.	.	.	.	.	.
28	28	.	.	.	.	.	.	.
25	22	.	.	.	.	.	.	.
29	28	29	30	30	27	28	29	29
30	.	.	.	.	.	.	.	.
24	.	.	.	.	.	.	.	.
28	28	28	29	28	22	27	27	.
30	29	26	27	27	30	30	29	.
25	26	28	26	27	.	.	.	.
18	10	.	.	.	.	.	.	.
28	.	.	.	.	.	.	.	.
27	28	26	.	.	.	.	.	.
30	23	28	29	26	25	26	28	.
26	26	18	.	.	.	.	.	.
29	.	.	.	.	.	.	.	.
30	30	30	30	30	29	.	.	.
25	.	.	.	.	.	.	.	.
28	27	28	26	28	27	29	27	27
30	29	27	29	30	27	27	28	28
28	29	30	29	27	22	.	.	.
28	29	28	27	27	30	.	.	.
.	.	28	25	.	.	.	.	.
29	28	28	28	29	28	29	29	.
27	23	19	23	19	.	.	.	.
26	27	27	29	.	.	.	.	.
28	28	29	28	29	17	12	.	.
29	30	30	28	.	24	10	.	.
29	29	28	29	29	.	.	.	.
28	.	.	.	.	.	.	.	.
26	24	20	16	0	.	.	.	.
23	22	.	.	.	.	.	.	.
28	28	30	28	29	28	28	.	.
24	.	.	.	.	.	.	.	.
28	30	28	28	27	28	25	.	.
29	.	.	.	.	.	.	.	.
23	.	.	.	.	.	.	.	.
25	21	20	11	.	.	.	.	.
27	27	28	28	28	28	28	26	.
29	29	28	30	30	29	26	.	.
20	.	22	22	24	.	.	.	.
28	.	.	.	.	.	.	.	.
28	28	27	25	27	24	26	.	.
27	27	.	.	.	.	.	.	.
27	28	29	26	29	25	24	.	.
29	26	28	28	28	.	.	.	.
28	27	27	25	24	.	.	.	.
24	26	25	26	.	.	.	.	.
27	25	24	21	15	.	.	.	.
28	29	30	27	29	28	29	28	.
29	27	28	26	27	27	25	26	25
30	29	30	29	.	20	19	.	.
25	.	20	19	11	.	.	.	.
25	.	.	.	.	.	.	.	.
27	28	28	29	.	.	.	.	.
28	29	27	29	.	.	.	.	.
28	28	.	.	.	.	.	.	.
26	27	.	.	.	.	.	.	.
27	28	28	29	29	.	.	.	.
23	25	.	.	.	.	.	.	.
27	27	.	.	.	.	.	.	.
29	28	26	28	23	25	23	15	.
29	29	28	.	.	.	.	.	.
29	29	29	30	29	26	.	.	.
29	28	27	24	.	.	.	.	.
26	23	21	19	.	.	.	.	.
30	30	29	29	28	30	29	30	29
25	29	27	.	.	.	.	.	.
27	.	.	.	.	.	.	.	.
29	28	27	.	.	.	.	.	.
29	29	21	.	.	.	.	.	.
30	29	28	29	24	21	14	.	.
30	29	28	29	30	27	28	28	.
29	.	.	.	.	.	.	.	.
29	27	28	28	27	28	23	.	.
29	28	28	.	.	.	.	.	.
29	28	29	.	.	.	.	.	.
23	28	.	.	.	.	.	.	.
30	.	.	.	.	.	.	.	.
27	27	.	.	.	.	.	.	.
23	24	22	24	23	.	.	.	.
21	14	.	.	.	.	.	.	.
26	25	27	.	.	.	.	.	.
23	24	23	.	.	.	.	.	.
26	29	26	27	26	.	.	.	.
25	.	.	.	.	.	.	.	.
26	27	27	.	.	.	.	.	.
28	28	28	25	27	22	17	9	.
26	25	24	29	25	22	20	20	.
29	29	30	28	29	29	29	28	30
28	28	.	.	.	.	.	.	.
18	22	.	.	.	.	.	.	.
26	.	.	.	.	.	.	.	.
27	25	8	0	.	.	.	.	.
28	28	27	29	29	25	.	.	.
25	28	26	.	.	.	.	.	.
29	28	28	28	26	.	.	.	.
19	21	22	19	.	.	.	.	.
28	.	.	.	.	.	.	.	.
29	25	29	27	28	27	.	.	.
27	28	25	17	12	8	.	.	.
26	23	22	27	21	23	22	20	5
28	26	25	.	.	.	.	.	.
28	29	29	.	.	.	.	.	.
27	28	28	.	.	.	.	.	.
24	24	25	23	23	23	.	.	.
28	.	.	.	.	.	.	.	.
25	28	28	28	28	27	28	26	26
24	24	.	.	.	.	.	.	.
23	.	12	.	.	.	.	.	.
30	30	27	29	28	29	28	28	.
21	26	.	.	.	.	.	.	.
27	27	.	.	.	.	.	.	.
